skills,sum,frequency,percent,client
ux,29,0.1014,10.14%,0
adobe photoshop,28,0.0979,9.79%,0
ui,22,0.0769,7.69%,0
figma,21,0.0734,7.34%,1
adobe illustrator,17,0.0594,5.94%,0
веб-дизайн,17,0.0594,5.94%,0
проектирование пользовательских интерфейсов,13,0.0455,4.55%,0
usability,9,0.0315,3.15%,0
