,skills,sum,frequency,percent,client
0,ux,45,0.1461,14.61%,2
1,ui,30,0.0974,9.74%,2
2,проектирование пользовательских интерфейсов,20,0.0649,6.49%,1
3,веб-дизайн,20,0.0649,6.49%,0
4,figma,15,0.0487,4.87%,1
5,дизайн интерфейсов,14,0.0455,4.55%,2
6,adobe photoshop,12,0.039,3.90%,1
7,adobe illustrator,11,0.0357,3.57%,1
8,английский язык,11,0.0357,3.57%,0
