skills,sum,frequency,percent,expert
ux,29,0.1014,10.14%,1
adobe photoshop,28,0.0979,9.79%,1
ui,22,0.0769,7.69%,1
figma,21,0.0734,7.34%,1
adobe illustrator,17,0.0594,5.94%,1
веб-дизайн,17,0.0594,5.94%,1
проектирование пользовательских интерфейсов,13,0.0455,4.55%,1
usability,9,0.0315,3.15%,1
