,skills,sum,frequency,percent,expert
0,ux,45,0.1461,14.61%,3
1,ui,30,0.0974,9.74%,3
2,проектирование пользовательских интерфейсов,20,0.0649,6.49%,3
3,веб-дизайн,20,0.0649,6.49%,3
4,figma,15,0.0487,4.87%,3
5,дизайн интерфейсов,14,0.0455,4.55%,3
6,adobe photoshop,12,0.039,3.90%,3
7,adobe illustrator,11,0.0357,3.57%,3
8,английский язык,11,0.0357,3.57%,3
