iter	Passed	Remaining
431	1685	10016
432	1688	10011
433	1692	10009
434	1696	10003
435	1700	9998
436	1703	9993
437	1707	9987
438	1711	9982
439	1714	9976
440	1718	9970
441	1722	9966
442	1725	9960
443	1729	9955
444	1733	9954
445	1737	9948
446	1740	9943
447	1744	9937
448	1748	9932
449	1751	9927
450	1755	9921
451	1759	9916
452	1762	9911
453	1766	9905
454	1770	9900
455	1773	9894
456	1777	9888
457	1780	9883
458	1784	9878
459	1788	9872
460	1791	9867
461	1795	9862
462	1798	9856
463	1802	9851
464	1806	9846
465	1809	9841
466	1813	9836
467	1817	9831
468	1820	9825
469	1824	9820
470	1827	9814
471	1831	9809
472	1835	9803
473	1838	9798
474	1842	9793
475	1845	9787
476	1849	9782
477	1853	9776
478	1856	9771
479	1860	9765
480	1863	9760
481	1867	9758
482	1871	9753
483	1875	9747
484	1878	9742
485	1882	9737
486	1885	9731
487	1889	9726
488	1894	9727
489	1898	9723
490	1903	9726
491	1908	9729
492	1912	9724
493	1915	9718
494	1919	9713
495	1923	9709
496	1926	9704
497	1930	9698
498	1933	9693
499	1937	9687
500	1941	9682
501	1944	9677
502	1948	9673
503	1952	9667
504	1955	9663
505	1959	9657
506	1963	9653
507	1966	9647
508	1970	9642
509	1973	9637
510	1977	9633
511	1982	9631
512	1986	9632
513	1990	9627
514	1994	9622
515	1997	9617
516	2001	9612
517	2005	9607
518	2008	9602
519	2012	9598
520	2016	9594
521	2020	9590
522	2023	9585
523	2027	9580
524	2031	9576
525	2035	9572
526	2038	9567
527	2042	9562
528	2046	9557
529	2049	9553
530	2053	9549
531	2057	9544
532	2061	9540
533	2064	9535
534	2068	9530
535	2072	9527
536	2076	9523
537	2080	9518
538	2083	9513
539	2087	9509
540	2091	9505
541	2095	9501
542	2098	9496
543	2102	9491
544	2106	9487
545	2109	9481
546	2113	9476
547	2116	9471
548	2120	9466
549	2123	9461
550	2127	9456
551	2131	9450
552	2134	9445
553	2138	9441
554	2142	9436
555	2145	9432
556	2149	9426
557	2152	9421
558	2156	9417
559	2160	9412
560	2163	9407
561	2167	9402
562	2170	9397
563	2174	9392
564	2178	9387
565	2181	9383
566	2185	9377
567	2189	9373
568	2192	9368
569	2196	9363
570	2199	9358
571	2203	9354
572	2207	9350
573	2211	9345
574	2214	9341
575	2218	9336
576	2222	9331
577	2225	9327
578	2229	9322
579	2233	9317
580	2236	9312
581	2241	9310
582	2244	9307
583	2248	9302
584	2252	9298
585	2255	9293
586	2259	9288
587	2263	9283
588	2266	9278
589	2270	9273
590	2273	9268
591	2277	9264
592	2281	9259
593	2284	9254
594	2288	9249
595	2291	9244
596	2295	9239
597	2299	9234
598	2302	9230
599	2306	9225
600	2309	9220
601	2313	9215
602	2317	9211
603	2320	9206
604	2324	9201
605	2328	9196
606	2331	9191
607	2335	9186
608	2338	9182
609	2342	9177
610	2345	9172
611	2349	9167
612	2353	9162
613	2356	9158
614	2360	9154
615	2364	9149
616	2367	9145
617	2371	9140
618	2375	9135
619	2378	9131
620	2382	9126
621	2386	9123
622	2390	9119
623	2393	9115
624	2397	9111
625	2401	9107
626	2405	9103
627	2409	9099
628	2412	9094
629	2416	9090
630	2434	9139
631	2464	9234
632	2476	9261
633	2490	9292
634	2497	9303
635	2504	9310
636	2510	9312
637	2517	9319
638	2523	9322
639	2526	9317
640	2530	9312
641	2534	9307
642	2537	9302
643	2541	9297
644	2545	9292
645	2549	9288
646	2552	9283
647	2556	9278
648	2560	9273
649	2563	9268
650	2567	9263
651	2570	9258
652	2574	9253
653	2578	9248
654	2581	9243
655	2585	9238
656	2589	9233
657	2592	9229
658	2596	9224
659	2600	9219
660	2603	9214
661	2607	9209
662	2611	9204
663	2614	9199
664	2618	9194
665	2622	9189
666	2625	9184
667	2629	9179
668	2633	9175
669	2636	9170
670	2640	9165
671	2644	9160
672	2647	9155
673	2651	9150
674	2655	9145
675	2658	9140
676	2662	9135
677	2666	9130
678	2669	9125
679	2673	9120
680	2676	9115
681	2680	9111
682	2684	9106
683	2687	9101
684	2691	9096
685	2695	9091
686	2698	9086
687	2702	9081
688	2706	9076
689	2709	9071
690	2713	9066
691	2716	9061
692	2722	9062
693	2730	9071
694	2734	9070
695	2738	9065
696	2742	9060
697	2745	9055
698	2749	9050
699	2753	9045
700	2756	9040
701	2760	9037
702	2764	9032
703	2768	9027
704	2771	9023
705	2775	9018
706	2779	9013
707	2782	9008
708	2786	9004
709	2790	8999
710	2794	8995
711	2797	8990
712	2801	8985
713	2805	8981
714	2808	8976
715	2812	8971
716	2816	8966
717	2819	8961
718	2823	8956
719	2826	8951
720	2830	8946
721	2834	8942
722	2837	8937
723	2841	8932
724	2845	8927
725	2848	8923
726	2852	8918
727	2856	8913
728	2859	8908
729	2863	8903
730	2867	8899
731	2870	8894
732	2874	8889
733	2877	8884
734	2881	8879
735	2884	8874
736	2888	8869
737	2892	8864
738	2895	8859
739	2899	8854
740	2902	8849
741	2906	8846
742	2910	8841
743	2914	8836
744	2918	8832
745	2921	8827
746	2925	8823
747	2928	8818
748	2932	8813
749	2936	8808
750	2939	8803
751	2943	8799
752	2947	8794
753	2950	8789
754	2954	8784
755	2958	8780
756	2961	8775
757	2965	8770
758	2968	8765
759	2972	8761
760	2976	8756
761	2979	8751
762	2983	8747
763	2987	8742
764	2991	8739
765	2994	8734
766	2998	8729
767	3002	8725
768	3005	8720
769	3009	8716
770	3013	8711
771	3016	8706
772	3020	8701
773	3024	8697
774	3027	8692
775	3031	8688
776	3035	8683
777	3039	8679
778	3042	8675
779	3048	8675
780	3051	8670
781	3055	8666
782	3059	8661
783	3062	8656
784	3066	8652
785	3069	8647
786	3073	8642
787	3077	8637
788	3080	8632
789	3084	8628
790	3087	8623
791	3091	8618
792	3095	8613
793	3098	8608
794	3102	8604
795	3105	8599
796	3109	8594
797	3112	8589
798	3116	8585
799	3120	8580
800	3123	8575
801	3127	8571
802	3131	8566
803	3134	8561
804	3138	8557
805	3142	8553
806	3145	8548
807	3149	8544
808	3153	8539
809	3156	8535
810	3160	8530
811	3164	8526
812	3167	8521
813	3171	8516
814	3174	8512
815	3178	8507
816	3182	8502
817	3185	8498
818	3189	8493
819	3193	8489
820	3196	8484
821	3200	8480
822	3204	8475
823	3208	8471
824	3211	8467
825	3215	8463
826	3219	8458
827	3222	8454
828	3226	8449
829	3230	8445
830	3234	8441
831	3239	8440
832	3242	8436
833	3246	8431
834	3250	8426
835	3253	8422
836	3257	8417
837	3260	8412
838	3264	8408
839	3268	8404
840	3387	8695
841	3416	8755
842	3427	8769
843	3433	8770
844	3448	8793
845	3459	8809
846	3464	8806
847	3468	8801
848	3472	8796
849	3475	8791
850	3479	8786
851	3483	8781
852	3487	8777
853	3490	8772
854	3494	8767
855	3498	8762
856	3502	8757
857	3505	8752
858	3509	8747
859	3513	8742
860	3517	8737
861	3520	8732
862	3524	8727
863	3528	8723
864	3532	8719
865	3536	8714
866	3539	8709
867	3543	8704
868	3547	8699
869	3551	8694
870	3554	8689
871	3558	8684
872	3562	8679
873	3566	8674
874	3571	8673
875	3576	8672
876	3581	8670
877	3585	8665
878	3589	8660
879	3592	8655
880	3596	8650
881	3600	8645
882	3603	8640
883	3607	8635
884	3611	8629
885	3614	8624
886	3618	8619
887	3621	8614
888	3625	8608
889	3629	8604
890	3633	8601
891	3637	8596
892	3641	8591
893	3645	8586
894	3648	8581
895	3652	8576
896	3655	8571
897	3659	8566
898	3663	8561
899	3666	8555
900	3670	8550
901	3674	8546
902	3677	8541
903	3681	8536
904	3685	8531
905	3689	8526
906	3692	8521
907	3696	8516
908	3700	8511
909	3703	8506
910	3707	8501
911	3711	8496
912	3714	8491
913	3718	8486
914	3721	8481
915	3725	8476
916	3729	8470
917	3732	8465
918	3736	8460
919	3739	8455
920	3743	8450
921	3747	8445
922	3750	8440
923	3754	8435
924	3758	8430
925	3761	8425
926	3765	8420
927	3768	8415
928	3772	8410
929	3776	8404
930	3779	8399
931	3783	8394
932	3786	8389
933	3790	8384
934	3794	8379
935	3797	8375
936	3802	8372
937	3807	8370
938	3811	8365
939	3814	8360
940	3818	8355
941	3822	8350
942	3825	8345
943	3829	8340
944	3833	8335
945	3836	8330
946	3840	8325
947	3844	8320
948	3847	8315
949	3851	8310
950	3854	8305
951	3858	8300
952	3862	8295
953	3865	8290
954	3869	8285
955	3872	8280
956	3876	8275
957	3881	8273
958	3885	8268
959	3888	8263
960	3892	8258
961	3895	8253
962	3899	8248
963	3903	8243
964	3906	8238
965	3910	8233
966	3915	8232
967	3919	8227
968	3922	8222
969	3926	8217
970	3929	8212
971	3933	8207
972	3937	8202
973	3940	8197
974	3944	8192
975	3948	8187
976	3951	8182
977	3955	8177
978	3958	8172
979	3962	8167
980	3966	8162
981	3969	8158
982	3973	8153
983	3977	8148
984	3980	8143
985	3984	8138
986	3987	8133
987	3991	8128
988	3995	8123
989	3998	8118
990	4002	8114
991	4006	8109
992	4009	8104
993	4013	8099
994	4016	8094
995	4020	8089
996	4024	8084
997	4027	8079
998	4031	8074
999	4036	8072
1000	4043	8074
1001	4049	8074
1002	4054	8073
1003	4060	8072
1004	4065	8069
1005	4068	8065
1006	4072	8060
1007	4076	8055
1008	4081	8054
1009	4085	8049
1010	4088	8044
1011	4092	8039
1012	4095	8034
1013	4099	8029
1014	4103	8024
1015	4106	8019
1016	4110	8014
1017	4114	8010
1018	4117	8005
1019	4121	8000
1020	4125	7996
1021	4129	7991
1022	4132	7987
1023	4136	7982
1024	4140	7978
1025	4144	7974
1026	4148	7969
1027	4151	7964
1028	4155	7959
1029	4159	7954
1030	4162	7949
1031	4166	7945
1032	4169	7940
1033	4173	7935
1034	4177	7931
1035	4181	7926
1036	4184	7921
1037	4189	7918
1038	4193	7913
1039	4196	7909
1040	4200	7904
1041	4204	7899
1042	4207	7894
1043	4211	7890
1044	4215	7885
1045	4218	7880
1046	4222	7875
1047	4225	7871
1048	4259	7922
1049	4289	7966
1050	4303	7981
1051	4314	7988
1052	4319	7987
1053	4333	8000
1054	4344	8009
1055	4355	8018
1056	4359	8014
1057	4363	8009
1058	4367	8004
1059	4371	7999
1060	4374	7994
1061	4378	7990
1062	4382	7985
1063	4385	7980
1064	4389	7976
1065	4393	7971
1066	4397	7966
1067	4400	7961
1068	4406	7959
1069	4411	7956
1070	4415	7952
1071	4419	7947
1072	4422	7942
1073	4426	7937
1074	4430	7933
1075	4434	7928
1076	4437	7923
1077	4441	7918
1078	4445	7914
1079	4449	7910
1080	4453	7906
1081	4457	7901
1082	4461	7896
1083	4464	7891
1084	4468	7887
1085	4472	7882
1086	4476	7877
1087	4479	7872
1088	4483	7867
1089	4487	7862
1090	4490	7857
1091	4494	7852
1092	4498	7848
1093	4501	7843
1094	4505	7838
1095	4509	7833
1096	4512	7828
1097	4516	7823
1098	4520	7818
1099	4523	7813
1100	4527	7808
1101	4531	7804
1102	4534	7799
1103	4538	7794
1104	4542	7789
1105	4545	7784
1106	4549	7779
1107	4552	7774
1108	4556	7769
1109	4560	7764
1110	4563	7759
1111	4567	7754
1112	4570	7749
1113	4574	7744
1114	4578	7739
1115	4581	7735
1116	4585	7730
1117	4589	7725
1118	4592	7720
1119	4596	7715
1120	4600	7710
1121	4603	7705
1122	4607	7701
1123	4611	7696
1124	4614	7691
1125	4620	7690
1126	4624	7686
1127	4628	7681
1128	4632	7676
1129	4635	7671
1130	4639	7667
1131	4643	7662
1132	4647	7657
1133	4650	7652
1134	4654	7647
1135	4658	7643
1136	4661	7638
1137	4665	7633
1138	4669	7628
1139	4672	7623
1140	4676	7619
1141	4680	7614
1142	4683	7609
1143	4687	7605
1144	4691	7600
1145	4695	7595
1146	4698	7591
1147	4702	7586
1148	4706	7581
1149	4709	7576
1150	4713	7571
1151	4717	7566
1152	4720	7562
1153	4724	7557
1154	4727	7552
1155	4731	7547
1156	4736	7545
1157	4746	7549
1158	4750	7546
1159	4754	7542
1160	4758	7537
1161	4762	7533
1162	4766	7528
1163	4769	7523
1164	4773	7519
1165	4777	7514
1166	4781	7510
1167	4785	7505
1168	4788	7500
1169	4792	7496
1170	4796	7491
1171	4800	7486
1172	4804	7482
1173	4807	7477
1174	4811	7473
1175	4815	7468
1176	4819	7464
1177	4823	7459
1178	4826	7455
1179	4830	7450
1180	4834	7445
1181	4838	7441
1182	4841	7436
1183	4845	7432
1184	4849	7427
1185	4852	7422
1186	4856	7417
1187	4860	7413
1188	4863	7408
1189	4867	7403
1190	4871	7398
1191	4875	7394
1192	4878	7389
1193	4882	7385
1194	4886	7380
1195	4890	7376
1196	4893	7371
1197	4897	7366
1198	4901	7362
1199	4905	7357
1200	4908	7353
1201	4913	7349
1202	4916	7344
1203	4920	7340
1204	4924	7336
1205	4928	7331
1206	4932	7326
1207	4935	7322
1208	4939	7317
1209	4943	7312
1210	4947	7308
1211	4950	7303
1212	4954	7298
1213	4958	7294
1214	4961	7289
1215	4965	7285
1216	4969	7280
1217	4973	7275
1218	4976	7271
1219	4980	7266
1220	4984	7262
1221	4987	7257
1222	4991	7252
1223	4995	7248
1224	4999	7244
1225	5003	7239
1226	5006	7234
1227	5010	7230
1228	5014	7225
1229	5017	7220
1230	5021	7216
1231	5025	7211
1232	5028	7206
1233	5032	7201
1234	5035	7197
1235	5039	7192
1236	5043	7187
1237	5046	7182
1238	5050	7177
1239	5053	7173
1240	5057	7168
1241	5061	7163
1242	5064	7158
1243	5068	7154
1244	5071	7149
1245	5075	7144
1246	5078	7139
1247	5082	7134
1248	5085	7130
1249	5099	7139
1250	5159	7213
1251	5173	7222
1252	5183	7227
1253	5193	7231
1254	5203	7235
1255	5210	7234
1256	5233	7257
1257	5244	7261
1258	5247	7257
1259	5251	7252
1260	5255	7247
1261	5259	7243
1262	5263	7238
1263	5266	7233
1264	5270	7229
1265	5274	7224
1266	5278	7219
1267	5282	7214
1268	5285	7210
1269	5289	7205
1270	5293	7200
1271	5296	7195
1272	5300	7191
1273	5304	7186
1274	5308	7181
1275	5312	7177
1276	5316	7172
1277	5319	7168
1278	5323	7163
1279	5327	7158
1280	5331	7154
1281	5335	7149
1282	5338	7144
1283	5342	7140
1284	5346	7135
1285	5350	7131
1286	5354	7126
1287	5358	7122
1288	5364	7120
1289	5368	7116
1290	5372	7111
1291	5376	7107
1292	5379	7102
1293	5383	7097
1294	5387	7093
1295	5391	7088
1296	5395	7083
1297	5398	7079
1298	5402	7074
1299	5406	7070
1300	5410	7065
1301	5414	7061
1302	5418	7056
1303	5422	7052
1304	5425	7047
1305	5429	7042
1306	5433	7037
1307	5436	7032
1308	5440	7028
1309	5444	7023
1310	5447	7018
1311	5451	7013
1312	5454	7008
1313	5458	7003
1314	5462	6999
1315	5465	6994
1316	5469	6989
1317	5473	6984
1318	5476	6979
1319	5480	6974
1320	5483	6970
1321	5487	6965
1322	5491	6960
1323	5495	6956
1324	5498	6951
1325	5502	6946
1326	5506	6941
1327	5509	6936
1328	5513	6932
1329	5517	6927
1330	5520	6922
1331	5524	6918
1332	5528	6913
1333	5532	6909
1334	5536	6904
1335	5539	6899
1336	5543	6895
1337	5547	6890
1338	5550	6885
1339	5554	6880
1340	5558	6876
1341	5562	6872
1342	5567	6869
1343	5571	6864
1344	5575	6860
1345	5578	6855
1346	5582	6850
1347	5586	6846
1348	5589	6841
1349	5593	6836
1350	5597	6831
1351	5600	6827
1352	5604	6822
1353	5608	6817
1354	5612	6813
1355	5615	6808
1356	5619	6803
1357	5623	6799
1358	5626	6794
1359	5630	6789
1360	5634	6784
1361	5637	6780
1362	5641	6775
1363	5645	6770
1364	5648	6766
1365	5652	6761
1366	5656	6757
1367	5660	6752
1368	5663	6747
1369	5667	6742
1370	5671	6738
1371	5674	6733
1372	5678	6729
1373	5682	6724
1374	5686	6720
1375	5689	6715
1376	5693	6710
1377	5697	6705
1378	5700	6701
1379	5704	6696
1380	5708	6692
1381	5712	6687
1382	5715	6682
1383	5721	6680
1384	5725	6675
1385	5728	6671
1386	5732	6666
1387	5736	6662
1388	5740	6657
1389	5743	6652
1390	5747	6648
1391	5751	6643
1392	5755	6639
1393	5758	6634
1394	5762	6629
1395	5766	6625
1396	5769	6620
1397	5773	6615
1398	5777	6611
1399	5780	6606
1400	5784	6601
1401	5788	6597
1402	5791	6592
1403	5795	6587
1404	5799	6583
1405	5803	6578
1406	5806	6574
1407	5810	6569
